Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2023/10/04,to-read,to-read (#86),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,4.06,St. Martin's Press,Hardcover,336,2017,2017,,2023/09/26,to-read,to-read (#85),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.13,Knopf,Hardcover,401,2022,2022,,2023/09/26,to-read,to-read (#84),to-read,,,,0,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.28,Doubleday Books,Hardcover,390,2022,2022,,2023/09/26,to-read,to-read (#83),to-read,,,,0,0
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,"Simsion, Graeme",,"=""1476729085""","=""9781476729084""",0,4.01,Simon & Schuster,Hardcover,292,2013,2013,,2023/09/26,to-read,to-read (#82),to-read,,,,0,0
54828706,In the Kitchen: Essays on Food and Life,Juliet Annan,"Annan, Juliet","Yemisi Aribisala, Laura   Freeman, Joel Golby, Daisy Johnson, Rebecca May Johnson, Rebecca Liu, Nina Mingya Powles, Ella Risbridger, Rachel Roddy, Mayukh Sen, Ruby Tandoh, Julia Turshen","=""1911547666""","=""9781911547662""",0,4.05,Daunt Books,Paperback,177,2020,2020,,2023/09/21,to-read,to-read (#81),to-read,,,,0,0
27833843,Unnatural Causes: The Life and Many Deaths of Britain's Top Forensic Pathologist,Richard Shepherd,"Shepherd, Richard",,"=""0718182715""","=""9780718182717""",0,4.32,Michael Joseph,Hardcover,400,2018,2018,,2023/09/19,to-read,to-read (#80),to-read,,,,0,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,4.41,Random House,Kindle Edition,208,2016,2016,,2023/09/19,to-read,to-read (#79),to-read,,,,0,0
50364458,The Tyranny of Merit: What's Become of the Common Good?,Michael J. Sandel,"Sandel, Michael J.",,"=""0241407605""","=""9780241407608""",0,4.19,Allen Lane,Paperback,272,2020,2020,,2023/09/18,to-read,to-read (#78),to-read,,,,0,0
35510008,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",5,4.40,Picador,ebook,285,2017,2017,2023/08/25,2023/07/23,,,read,,,,1,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2023/08/22,to-read,to-read (#77),to-read,,,,0,0
11966836,Below Stairs,Margaret Powell,"Powell, Margaret",,"=""1250005442""","=""9781250005441""",0,3.58,St. Martin's Press,Hardcover,212,2012,1968,,2023/08/20,to-read,to-read (#75),to-read,,,,0,0
4931,海邊的卡夫卡 上,Haruki Murakami,"Murakami, Haruki","村上春樹, 賴明珠","=""9571338400""","=""9789571338408""",4,4.19,時報文化出版企業股份有限公司,Paperback,324,2003,2002,,2023/08/06,,,read,,,,1,0
59634120,Small Worlds,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""024157434X""","=""9780241574348""",0,4.28,Viking,Paperback,260,2023,2023,,2023/07/14,to-read,to-read (#74),to-read,,,,0,0
105501914,Leigh Howard and the Ghosts of Simmons-Pierce Manor,Shawn M. Warner,"Warner, Shawn M.",,"=""1685130739""","=""9781685130732""",0,4.01,Black Rose Writing,Paperback,263,2022,2022,,2023/07/13,to-read,to-read (#73),to-read,,,,0,0
49788058,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""""","=""""",5,4.23,Penguin Books,Kindle Edition,331,2018,2017,2023/07/12,2023/07/01,,,read,,,,1,0
57224204,The Seven Moons of Maali Almeida,Shehan Karunatilaka,"Karunatilaka, Shehan",,"=""1908745908""","=""9781908745903""",0,3.91,Sort of Books,Hardcover,386,2022,2022,,2023/07/01,to-read,to-read (#72),to-read,,,,0,0
58891551,Young Mungo,Douglas   Stuart,"Stuart, Douglas",,"=""0802159559""","=""9780802159557""",0,4.38,Grove Press,Hardcover,390,2022,2022,,2023/06/27,to-read,to-read (#71),to-read,,,,0,0
36006302,辦公室,胡晴舫,"胡晴舫, 胡晴舫",,"=""""","=""9789867108012""",0,4.33,INK印刻出版有限公司,Paperback,191,2005,,,2023/05/21,to-read,to-read (#70),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",0,4.13,Grove Press,Hardcover,128,2021,2021,,2023/04/29,to-read,to-read (#69),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.28,Penguin,Paperback,671,2002,1866,,2020/02/22,currently-reading,currently-reading (#11),currently-reading,,,,1,0
36666151,拾香紀,陳慧,"陳慧, 陳慧",,"=""9629923386""","=""9789629923389""",5,4.38,七字頭,Paperback,,1998,1999,2023/04/11,2023/04/09,,,read,,,,1,0
35224992,Last Night at the Telegraph Club,Malinda Lo,"Lo, Malinda",,"=""0525555250""","=""9780525555254""",0,4.21,Dutton Books for Young Readers,Hardcover,409,2021,2021,,2023/04/09,to-read,to-read (#68),to-read,,,,0,0
58040512,Normal People,Sally Rooney,"Rooney, Sally",,"=""""","=""""",4,3.81,Hogarth,Kindle Edition,279,2019,2018,2023/04/09,2020/02/22,,,read,,,,1,0
58588577,識去旅行，一定係去伊朗,Angel Ng,"Ng, Angel",伍珩,"=""""","=""9789887486978""",4,3.73,白卷出版社,Kindle Edition,212,2021,,,2023/03/20,,,read,,,,1,0
59629744,Diary of a Void,Emi Yagi,"Yagi, Emi","David  Boyd, Lucy North","=""0143136879""","=""9780143136873""",0,3.50,Viking,Hardcover,213,2022,2020,,2023/03/12,to-read,to-read (#67),to-read,,,,0,0
